Stock name,Open price,High price,Low price,Previous price,Volume,Ltp
SBILIFE,796.0,813.5,780.0,804.4,2252162.0,795.45
BPCL,379.0,381.5,365.3,377.25,13272301.0,374.0
UPL,508.95,513.8,500.75,505.15,4858021.0,502.2
Stock name,Open price,High price,Low price,Previous price,Volume,Ltp
SBILIFE,796.0,813.5,780.0,804.4,2252162.0,795.45
BPCL,379.0,381.5,365.3,377.25,13272301.0,374.0
UPL,508.95,513.8,500.75,505.15,4858021.0,502.2
Stock name,Open price,High price,Low price,Previous price,Volume,Ltp
SBILIFE,796.0,813.5,780.0,804.4,2252162.0,795.45
BPCL,379.0,381.5,365.3,377.25,13272301.0,374.0
UPL,508.95,513.8,500.75,505.15,4858021.0,502.2
Stock name,Open price,High price,Low price,Previous price,Volume,Ltp
SBILIFE,796.0,813.5,780.0,804.4,2252162.0,795.45
BPCL,379.0,381.5,365.3,377.25,13272301.0,374.0
UPL,508.95,513.8,500.75,505.15,4858021.0,502.2
